hotel_name,name,rating,review
Mahima Hotel Semarang,The Jatmiko,4.0,"Modern minimalis hotel for you thay want to stay or bussines trip or stop by in semarang...the room is cool, the amenities less complete, but still comfortable... the breakfast is so so lah 😁"
Mahima Hotel Semarang,Bilal Ukraina,5.0,Great 3 star hotel. Rooms are very clean and nice. Breakfast are also satisfying. Affordable prices. They have ballrooms too for events. Nice place
Mahima Hotel Semarang,Yudhie Harianto,4.0,Hotel was nice and clean. But no fridge provided in the room.Rooms: 4/5 | Service: 5/5 | Location: 4/5 …More
Mahima Hotel Semarang,Coach Iyu,3.0,"Air conditioner is not cold, you need to walk outside to smoke, for me it’s not comfortable. Soundproof is bad, bud the food taste is good. Overall i think i will find others when in semarang."
Mahima Hotel Semarang,Joshua Luther Thenadi,5.0,"Designed nicely. Eventhough its not perfect in anyway but I just love the amount of detail and care put into the theme of monochromatic-elegance hotel. Everything till the side lamps, electricity plug is specifically chosen to fit the theme well. The service are really nice, and the restaurant is very well priced. Totally recommended hotel and will definitely comeback if I got another chance to visit."
Mahima Hotel Semarang,Reza,5.0,The staff really friendly. Clean and cozy hotelRooms: 5/5 | Service: 5/5 | Location: 3/5 …More
Mahima Hotel Semarang,Riska,4.0,"Good place for short stay, but imo need a little bit improvement like clean room regularly bcs of dust, glass in bathroom is not clear bcs water from shower, make sure plate on breakfast buffet is clean (I found dust (again)), etc"
Mahima Hotel Semarang,Ayu Rizki Oktavia,5.0,"Best value, nice staff, near from exit tol and airport.They have good hall for your workshop, seminar, wedding , gathering event. Etc Very good price and good place to hangout. Coffee and all foos beverages best value and compy and cozy place.."
Mahima Hotel Semarang,Tri Armalia,4.0,"2nd time staying at Mahima due to affordable rates. Place surrounding is not so noisy, but the wall is quite thin, you can hear the sound of kids playing around from outside room. You need to prepare cash since they require 100k deposit and additional charge 50k if you request more pillow for sleeping. This doesnt happen to other hotels i stayed before. Plus point is that the towel is big and comfy"
Mahima Hotel Semarang,andy eko,2.0,"Hotel good. Rooms good. Food taste good. Food variety not good. Breakfast definitely not good, better eat outside. Checkout 12.00. Checkout at 14.00 pay 25%. GM Doli is good. If I'm not mistaken in the room said restaurant closed at 11pm, but at 9pm they already request to pay. GM Doli is good. Security good. Parking good. Housekeeping good. Receptionist and marketing, NOT GOOD! We call said available. 20 minutes before arrive we still communicate said okay, please come to hotel. Already arrive to hotel, still greet us with smile, said check in at 2pm. We said okay. No problem. We said may we see the room, after that we will pay, than the smiling face turn to be pale. And said sorry, the room is not available. Amazing receptionist. There is no effort helping us find another room at other hotels. When we ask to meet the boss, he said he is the boss. Wow we are surprised if he is the boss. So he is the best. And the best only can say sorry. Because traveloka bla bla bla. Hey, we already use traveloka so many years, and there is no problem. Amazing! Finally a bigger boss come, and he help us, for that we say thank you. Mr. Bigger boss you need to improve or do something to you staff, its not good for your hotel. So 2 star i think enough."
Mahima Hotel Semarang,Rudy Pras,5.0,"This hotel is located in west Semarang, away from the hustle and bustle of the city. Suitable for business meetings that require quiet place."
Mahima Hotel Semarang,singgih K kurniawan,5.0,Simpel and clean. Near airport and pantura main street
Mahima Hotel Semarang,Martha Kurniawati,5.0,Clean room ✅Great services ✅Nice facilities ✅Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Mahima Hotel Semarang,Cakra Wiguna,5.0,"Cleanliness is good, friendly staff, check in/out with no hassle! Good value hotel!"
Mahima Hotel Semarang,adhery susant,5.0,Nice place n excelent services.. tQRooms: 5/5 | Service: 5/5 | Location: 4/5 …More
Mahima Hotel Semarang,Bimo Setyawan,4.0,Food quality ok & fair price but takes time from order to serve
Mahima Hotel Semarang,Clovadio Andrew,5.0,All the waiters were very friendly woah 😂.Nice price.. nice service.. overall very good place. So clean and very nice for hangout with friendsService: 5/5 | Location: 5/5 …More
Mahima Hotel Semarang,Tera Sekarwati,5.0,"I just try the food at the restaurant and it's taste good, the place is comfortable to date or with ur family, best service"
Mahima Hotel Semarang,stefanus aditya,5.0,"Good place for nongki, eat, maybe a stay for this place...Interior design this hotel is very homy, minimaliz, and crearife and AC very cool..."
Mahima Hotel Semarang,Deny Prasetya,5.0,"Nice hotel, clean sheet, hospitable staff overall Ok...love to come back..."
Mahima Hotel Semarang,Dian Mardiana,4.0,Not badRooms: 4/5 | Service: 4/5 | Location: 4/5 …More
Mahima Hotel Semarang,herman rusjadi,5.0,Very goodRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Mahima Hotel Semarang,Willy Surya,5.0,Brand new hotel with all the best facilities and services. Keep the good work for all the staff
